"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Alaska","Washington","Other ag prods.","Truck","0.0448","0.10353551","0.0227"
"Alaska","West Virginia","Other ag prods.","Truck","0.0008","0.0032778","0.0004"
"Alaska","Wisconsin","Other ag prods.","Truck","0.0065","0.02231535","0.0033"
"Alaska","Wyoming","Other ag prods.","Truck","0.0011","0.00314155","0.0006"
"Arizona","Alabama","Other ag prods.","Truck","4.9938","8.37073215","3.003"
"Arizona","Alaska","Other ag prods.","Truck","0","0","0"
"Arizona","Arizona","Other ag prods.","Truck","4004.1837","494.06216019","2492.8178"
"Arizona","Arkansas","Other ag prods.","Truck","0.492","0.64294646","0.0808"
"Arizona","California","Other ag prods.","Truck","553.6391","262.71995855","375.5518"
"Arizona","Colorado","Other ag prods.","Truck","12.1692","9.63750396","10.7202"
"Arizona","Connecticut","Other ag prods.","Truck","2.0009","5.06675202","1.0062"
"Arizona","Delaware","Other ag prods.","Truck","0.0003","0.00070968","0.0001"
"Arizona","Washington DC","Other ag prods.","Truck","0.0003","0.00069775","0.0002"
"Arizona","Florida","Other ag prods.","Truck","19.7169","44.59837475","24.1132"
"Arizona","Georgia","Other ag prods.","Truck","4.8902","8.96369125","3.0086"
"Arizona","Idaho","Other ag prods.","Truck","2.0229","1.92449533","4.9671"
"Arizona","Illinois","Other ag prods.","Truck","5.7861","10.1667349","6.8455"
"Arizona","Indiana","Other ag prods.","Truck","4.8525","8.57820597","5.7569"
"Arizona","Iowa","Other ag prods.","Truck","0.0365","0.05752569","0.0039"
"Arizona","Kansas","Other ag prods.","Truck","7.6817","10.21703417","7.1903"
"Arizona","Kentucky","Other ag prods.","Truck","2.0059","3.6343082","0.9891"
"Arizona","Louisiana","Other ag prods.","Truck","86.0106","125.11080055","41.9246"
"Arizona","Maine","Other ag prods.","Truck","0.0002","0.00056346","0.0001"
"Arizona","Maryland","Other ag prods.","Truck","1.9825","4.64950973","2.4828"
"Arizona","Massachusetts","Other ag prods.","Truck","3.8388","10.22310335","2.9905"
