"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Alabama","Vermont","Wood prods.","Truck","0.4077","0.51000828","1.0266","1.0293"
"Alabama","Vermont","Nonmetal min. prods.","Truck","0.0002","0.00020266","0","0"
"Alabama","Vermont","Machinery","Truck","0.0001","0.00015638","0.0013","0.0013"
"Alabama","Virginia","Wood prods.","Truck","82.7743","54.28586882","42.9097","43.0245"
"Alabama","Virginia","Nonmetal min. prods.","Truck","4.8671","3.18245283","8.1839","8.1235"
"Alabama","Virginia","Machinery","Truck","9.92","6.69627698","24.2931","24.3707"
"Alabama","Washington","Wood prods.","Truck","6.0683","15.41303187","1.7657","1.7704"
"Alabama","Washington","Nonmetal min. prods.","Truck","0.7961","2.09586998","6.4866","6.4386"
"Alabama","Washington","Machinery","Truck","1.0996","2.89382519","7.4065","7.4302"
"Alabama","West Virginia","Wood prods.","Truck","25.4216","16.41518249","10.2313","10.2586"
"Alabama","West Virginia","Nonmetal min. prods.","Truck","2.1832","1.40526251","1.8389","1.8252"
"Alabama","West Virginia","Machinery","Truck","0.0309","0.0215957","6.192","6.2117"
"Alabama","Wisconsin","Wood prods.","Truck","45.9919","41.32359407","31.3548","31.4384"
"Alabama","Wisconsin","Nonmetal min. prods.","Truck","8.9947","7.84560675","10.8151","10.735"
"Alabama","Wisconsin","Machinery","Truck","12.7992","11.21980796","114.6737","115.039"
"Alabama","Wyoming","Wood prods.","Truck","0","0","0","0"
"Alabama","Wyoming","Nonmetal min. prods.","Truck","0.0002","0.00039384","0","0"
"Alabama","Wyoming","Machinery","Truck","0.0246","0.04068354","6.1679","6.1876"
"Alaska","Alabama","Wood prods.","Truck","0.0003","0.0014334","0.0002","0.0002"
"Alaska","Alabama","Nonmetal min. prods.","Truck","0.0018","0.00738754","0.0002","0.0002"
"Alaska","Alabama","Machinery","Truck","0.0006","0.00288071","0.0062","0.0063"
"Alaska","Alaska","Wood prods.","Truck","175.1672","36.58493836","125.4203","125.7547"
"Alaska","Alaska","Nonmetal min. prods.","Truck","3685.0875","769.65726813","336.334","333.8434"
"Alaska","Alaska","Machinery","Truck","357.3966","74.64486247","2929.2087","2938.5426"
"Alaska","Arizona","Wood prods.","Truck","0.0012","0.0045134","0.0007","0.0007"
"Alaska","Arizona","Nonmetal min. prods.","Truck","0.0058","0.02095259","0.0009","0.0009"
"Alaska","Arizona","Machinery","Truck","0.0028","0.01068129","0.0229","0.023"
"Alaska","Arkansas","Wood prods.","Truck","0.0003","0.00132367","0.0002","0.0002"
"Alaska","Arkansas","Nonmetal min. prods.","Truck","0.001","0.00397101","0.0001","0.0001"
"Alaska","Arkansas","Machinery","Truck","0.0006","0.00220612","0.0044","0.0044"
"Alaska","California","Wood prods.","Truck","0.132","0.44972897","5.076","5.0895"
"Alaska","California","Nonmetal min. prods.","Truck","0.0458","0.14968837","0.0075","0.0074"
"Alaska","California","Machinery","Truck","0.0228","0.07413483","0.1821","0.1826"
"Alaska","Colorado","Wood prods.","Truck","0.0019","0.00615325","0.001","0.001"
"Alaska","Colorado","Nonmetal min. prods.","Truck","0.0079","0.02571215","0.0013","0.0013"
"Alaska","Colorado","Machinery","Truck","0.0355","0.11370427","0.0391","0.0392"
"Alaska","Connecticut","Wood prods.","Truck","0.0002","0.00100493","0.0002","0.0002"
"Alaska","Connecticut","Nonmetal min. prods.","Truck","0.0011","0.00527826","0.0001","0.0001"
"Alaska","Connecticut","Machinery","Truck","0.0004","0.00200988","0.0035","0.0035"
"Alaska","Delaware","Wood prods.","Truck","0.0002","0.00105421","0","0"
"Alaska","Delaware","Nonmetal min. prods.","Truck","0.0007","0.00316265","0","0"
"Alaska","Delaware","Machinery","Truck","0.0001","0.00048647","0.0012","0.0012"
"Alaska","Washington DC","Wood prods.","Truck","0.0002","0.00104094","0","0"
"Alaska","Washington DC","Nonmetal min. prods.","Truck","0.0002","0.00104094","0","0"
"Alaska","Washington DC","Machinery","Truck","0.0001","0.00048035","0.0008","0.0008"
"Alaska","Florida","Wood prods.","Truck","0.0013","0.00694504","0.0005","0.0005"
"Alaska","Florida","Nonmetal min. prods.","Truck","0.0042","0.0199208","0.0005","0.0005"
"Alaska","Florida","Machinery","Truck","0.0021","0.01012839","0.0165","0.0166"
"Alaska","Georgia","Wood prods.","Truck","0.0008","0.00337262","0.0004","0.0004"
"Alaska","Georgia","Nonmetal min. prods.","Truck","0.0028","0.01217541","0.0004","0.0004"
"Alaska","Georgia","Machinery","Truck","0.0013","0.00577653","0.0118","0.0119"
"Alaska","Idaho","Wood prods.","Truck","0.0016","0.00429113","0.0009","0.0009"
"Alaska","Idaho","Nonmetal min. prods.","Truck","0.0079","0.02145564","0.0013","0.0012"
"Alaska","Idaho","Machinery","Truck","0.0037","0.0101148","0.0301","0.0302"
"Alaska","Illinois","Wood prods.","Truck","0.0029","0.01049547","0.0014","0.0014"
"Alaska","Illinois","Nonmetal min. prods.","Truck","0.0077","0.02759851","0.0011","0.0011"
"Alaska","Illinois","Machinery","Truck","0.0038","0.01370527","0.0315","0.0316"
"Alaska","Indiana","Wood prods.","Truck","0.001","0.00378885","0.0006","0.0006"
"Alaska","Indiana","Nonmetal min. prods.","Truck","0.0034","0.01260097","0.0005","0.0005"
"Alaska","Indiana","Machinery","Truck","0.0018","0.00673161","0.0141","0.0142"
"Alaska","Iowa","Wood prods.","Truck","0.0008","0.00267522","0.0005","0.0005"
"Alaska","Iowa","Nonmetal min. prods.","Truck","0.0024","0.00802567","0.0003","0.0003"
"Alaska","Iowa","Machinery","Truck","0.0012","0.00420393","0.0098","0.0098"
"Alaska","Kansas","Wood prods.","Truck","0.0005","0.00201593","0.0003","0.0003"
"Alaska","Kansas","Nonmetal min. prods.","Truck","0.0018","0.00645493","0.0003","0.0003"
"Alaska","Kansas","Machinery","Truck","0.0009","0.00322747","0.0077","0.0077"
"Alaska","Kentucky","Wood prods.","Truck","0.0005","0.00220356","0.0003","0.0003"
"Alaska","Kentucky","Nonmetal min. prods.","Truck","0.0016","0.0061743","0.0002","0.0002"
"Alaska","Kentucky","Machinery","Truck","0.0009","0.00352714","0.0069","0.0069"
"Alaska","Louisiana","Wood prods.","Truck","0.0006","0.00308229","0.0001","0.0001"
"Alaska","Louisiana","Nonmetal min. prods.","Truck","0.0021","0.00910417","0.0002","0.0002"
"Alaska","Louisiana","Machinery","Truck","0.0007","0.00340546","0.0062","0.0062"
"Alaska","Maine","Wood prods.","Truck","0.0004","0.00166793","0","0"
"Alaska","Maine","Nonmetal min. prods.","Truck","0.0005","0.00228172","0","0"
"Alaska","Maine","Machinery","Truck","0.0001","0.00052645","0.001","0.001"
"Alaska","Maryland","Wood prods.","Truck","0.0007","0.00344806","0.0002","0.0002"
"Alaska","Maryland","Nonmetal min. prods.","Truck","0.0025","0.01073875","0.0002","0.0002"
"Alaska","Maryland","Machinery","Truck","0.0013","0.00528741","0.0091","0.0091"
"Alaska","Massachusetts","Wood prods.","Truck","0.0008","0.00367077","0.0002","0.0002"
"Alaska","Massachusetts","Nonmetal min. prods.","Truck","0.0017","0.0078406","0.0002","0.0002"
"Alaska","Massachusetts","Machinery","Truck","0.0008","0.00358608","0.0063","0.0063"
"Alaska","Michigan","Wood prods.","Truck","0.0014","0.00554785","0.0006","0.0006"
"Alaska","Michigan","Nonmetal min. prods.","Truck","0.0035","0.01320585","0.0005","0.0005"
"Alaska","Michigan","Machinery","Truck","0.0019","0.00723962","0.0155","0.0155"
"Alaska","Minnesota","Wood prods.","Truck","0.0023","0.00709351","0.0012","0.0012"
"Alaska","Minnesota","Nonmetal min. prods.","Truck","0.0064","0.02021907","0.0011","0.0011"
"Alaska","Minnesota","Machinery","Truck","0.0033","0.01028723","0.0266","0.0266"
"Alaska","Mississippi","Wood prods.","Truck","0.0002","0.00094","0.0001","0.0001"
"Alaska","Mississippi","Nonmetal min. prods.","Truck","0.0008","0.00328998","0.0001","0.0001"
"Alaska","Mississippi","Machinery","Truck","0.0004","0.00187998","0.0032","0.0032"
"Alaska","Missouri","Wood prods.","Truck","0.0009","0.00373432","0.0005","0.0005"
"Alaska","Missouri","Nonmetal min. prods.","Truck","0.0035","0.01283647","0.0005","0.0005"
"Alaska","Missouri","Machinery","Truck","0.0018","0.00662989","0.0145","0.0145"
"Alaska","Montana","Wood prods.","Truck","0.0012","0.00306031","0.0007","0.0007"
"Alaska","Montana","Nonmetal min. prods.","Truck","0.0055","0.01363229","0.0009","0.0009"
"Alaska","Montana","Machinery","Truck","0.0026","0.00639883","0.0211","0.0212"
"Alaska","Nebraska","Wood prods.","Truck","0.0006","0.00188267","0.0003","0.0003"
"Alaska","Nebraska","Nonmetal min. prods.","Truck","0.0016","0.00527147","0.0002","0.0002"
"Alaska","Nebraska","Machinery","Truck","0.0008","0.00263574","0.0067","0.0067"
"Alaska","Nevada","Wood prods.","Truck","0.0012","0.00407297","0.0007","0.0007"
"Alaska","Nevada","Nonmetal min. prods.","Truck","0.0061","0.02007904","0.001","0.001"
