"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 1997","Total Ton-Mile in 1997","Total M$ in 1997"
"Alabama","Virginia","Machinery","Truck","2.9198","2.13451333","20.9959"
"Alabama","Washington","Wood prods.","Truck","0.2530","0.65017821","0.8888"
"Alabama","Washington","Nonmetal min. prods.","Truck","0.1121","0.28827410","0.3096"
"Alabama","Washington","Machinery","Truck","3.0509","7.80362048","31.9805"
"Alabama","West Virginia","Wood prods.","Truck","9.7670","6.18863560","30.8401"
"Alabama","West Virginia","Nonmetal min. prods.","Truck","0.3490","0.22293344","0.4412"
"Alabama","West Virginia","Machinery","Truck","0.7540","0.48222478","17.6601"
"Alabama","Wisconsin","Wood prods.","Truck","64.7340","54.30608701","47.5932"
"Alabama","Wisconsin","Nonmetal min. prods.","Truck","11.8960","10.02866888","0.4464"
"Alabama","Wisconsin","Machinery","Truck","1.9700","1.66187882","36.7147"
"Alabama","Wyoming","Machinery","Truck","0.2020","0.32301797","0.1174"
"Alaska","Alaska","Wood prods.","Truck","102.5872","33.80825171","54.2845"
"Alaska","Alaska","Nonmetal min. prods.","Truck","418.2973","137.85248460","69.6204"
"Alaska","Alaska","Machinery","Truck","276.2093","91.02649784","1262.7939"
"Alaska","Florida","Machinery","Truck","0.0050","0.02352480","0.0555"
"Alaska","Texas","Machinery","Truck","0.0700","0.28150071","17.6950"
"Alaska","Washington","Wood prods.","Truck","0.0260","0.05946941","0.2283"
"Alaska","Washington","Machinery","Truck","0.1540","0.34810665","0.3857"
"Alaska","Wisconsin","Machinery","Truck","0.1050","0.35975959","0.0426"
"Arizona","Alabama","Wood prods.","Truck","0.3610","0.61553988","0.2634"
"Arizona","Alabama","Nonmetal min. prods.","Truck","0.2680","0.45698695","1.9608"
"Arizona","Alabama","Machinery","Truck","3.4610","5.87972778","0.3290"
"Arizona","Alaska","Nonmetal min. prods.","Truck","0.0010","0.00362081","0.0077"
"Arizona","Alaska","Machinery","Truck","0.0820","0.29349222","0.0129"
"Arizona","Arizona","Wood prods.","Truck","2510.7033","215.16884129","1584.2356"
"Arizona","Arizona","Nonmetal min. prods.","Truck","20824.4978","1754.78984960","1885.6587"
"Arizona","Arizona","Machinery","Truck","3665.5223","310.32996241","16423.8341"
"Arizona","Arkansas","Nonmetal min. prods.","Truck","0.0010","0.00132420","0.0065"
"Arizona","Arkansas","Machinery","Truck","0.6050","0.79557846","0.0645"
"Arizona","California","Wood prods.","Truck","23.8067","11.27882820","15.8871"
"Arizona","California","Nonmetal min. prods.","Truck","169.4123","84.44287526","67.6182"
"Arizona","California","Machinery","Truck","67.4405","32.88694465","242.3159"
"Arizona","Colorado","Wood prods.","Truck","0.7348","0.58173482","0.6235"
"Arizona","Colorado","Nonmetal min. prods.","Truck","34.7998","28.71275470","7.3861"
"Arizona","Colorado","Machinery","Truck","2.6123","2.03436103","7.9919"
"Arizona","Connecticut","Machinery","Truck","0.6870","1.76152105","0.0670"
"Arizona","Washington DC","Nonmetal min. prods.","Truck","0.0050","0.01163067","0.0413"
"Arizona","Florida","Wood prods.","Truck","0.3220","0.69548405","2.2575"
"Arizona","Florida","Nonmetal min. prods.","Truck","0.3990","0.85632748","2.2821"
"Arizona","Florida","Machinery","Truck","3.2540","6.90867212","85.3824"
"Arizona","Georgia","Wood prods.","Truck","0.0020","0.00358953","0.0284"
"Arizona","Georgia","Nonmetal min. prods.","Truck","26.9190","49.38623276","28.5064"
"Arizona","Georgia","Machinery","Truck","45.3520","85.42999133","17.1674"
"Arizona","Idaho","Nonmetal min. prods.","Truck","0.3110","0.31713897","2.9038"
"Arizona","Idaho","Machinery","Truck","0.4020","0.36964404","0.0645"
"Arizona","Illinois","Wood prods.","Truck","0.3140","0.52075529","0.4502"
"Arizona","Illinois","Machinery","Truck","0.3170","0.55786207","26.2387"
"Arizona","Indiana","Nonmetal min. prods.","Truck","0.1580","0.28563946","1.3648"
"Arizona","Indiana","Machinery","Truck","1.2800","2.30053411","0.3753"
"Arizona","Iowa","Wood prods.","Truck","0.0760","0.12163920","0.0013"
"Arizona","Iowa","Nonmetal min. prods.","Truck","5.1520","8.24489033","6.4977"
"Arizona","Iowa","Machinery","Truck","6.0430","9.55826177","0.5521"
"Arizona","Kansas","Nonmetal min. prods.","Truck","0.7550","0.86885938","6.8409"
"Arizona","Kansas","Machinery","Truck","0.9280","1.12785884","0.0980"
"Arizona","Kentucky","Machinery","Truck","30.5550","54.76896895","19.0753"
"Arizona","Louisiana","Nonmetal min. prods.","Truck","0.0021","0.00291959","0.0143"
"Arizona","Louisiana","Machinery","Truck","4.3650","6.77136343","0.6889"
"Arizona","Maine","Machinery","Truck","0.0060","0.01699461","0.0013"
"Arizona","Maryland","Nonmetal min. prods.","Truck","0.1100","0.25555076","0.8875"
"Arizona","Maryland","Machinery","Truck","0.5310","1.23179760","0.0877"
"Arizona","Massachusetts","Machinery","Truck","1.9570","5.26595733","0.2928"
"Arizona","Michigan","Wood prods.","Truck","0.2630","0.52617695","0.3264"
"Arizona","Michigan","Nonmetal min. prods.","Truck","0.1200","0.23515643","0.2708"
"Arizona","Michigan","Machinery","Truck","1.1060","2.20766470","15.2916"
"Arizona","Minnesota","Wood prods.","Truck","0.3460","0.61982275","0.6837"
"Arizona","Minnesota","Nonmetal min. prods.","Truck","0.3460","0.61969217","2.7748"
"Arizona","Minnesota","Machinery","Truck","0.3760","0.65807018","0.0491"
"Arizona","Mississippi","Nonmetal min. prods.","Truck","5.7700","8.69065513","0.1871"
"Arizona","Mississippi","Machinery","Truck","18.0770","27.86109994","10.7586"
"Arizona","Missouri","Nonmetal min. prods.","Truck","0.3430","0.49110500","2.6225"
"Arizona","Missouri","Machinery","Truck","0.8700","1.24323002","0.1149"
"Arizona","Montana","Wood prods.","Truck","0.3250","0.39326390","0.0993"
