"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Arkansas","Indiana","Truck","714.8409","438.40750163","1458.012","1463.2419"
"Arkansas","Iowa","Truck","243.6853","145.02124129","434.0444","436.6228"
"Arkansas","Kansas","Truck","821.3426","329.70514387","900.4701","903.6131"
"Arkansas","Kentucky","Truck","1036.3286","575.98723083","1795.2484","1802.6834"
"Arkansas","Louisiana","Truck","4137.7525","1529.83124074","2690.0479","2702.9055"
"Arkansas","Maine","Truck","13.1215","21.68857531","39.681","39.8459"
"Arkansas","Maryland","Truck","93.3742","103.12692443","574.7698","580.865799999999"
"Arkansas","Massachusetts","Truck","76.6558","113.03099281","174.9212","174.9492"
"Arkansas","Michigan","Truck","383.5461","330.60412368","1050.9339","1055.4682"
"Arkansas","Minnesota","Truck","275.8311","230.62096486","454.342","456.0541"
"Arkansas","Mississippi","Truck","2087.6257","697.81504814","2228.7195","2232.4944"
"Arkansas","Missouri","Truck","3179.3325","954.76079608","2834.6875","2839.4064"
"Arkansas","Montana","Truck","14.8451","24.5854059","58.775","59.0407"
"Arkansas","Nebraska","Truck","159.1739","97.4007605","232.9534","234.6632"
"Arkansas","Nevada","Truck","83.3777","134.30492046","214.0351","214.7433"
"Arkansas","New Hampshire","Truck","12.2381","18.47455","44.4782","44.5373"
"Arkansas","New Jersey","Truck","161.9001","201.4154799","624.4125","630.113"
"Arkansas","New Mexico","Truck","51.3681","45.03331095","87.643","87.8913"
"Arkansas","New York","Truck","352.3917","423.46509109","702.0881","705.942899999999"
"Arkansas","North Carolina","Truck","852.9001","725.0296625","1349.4842","1354.1556"
"Arkansas","North Dakota","Truck","36.2041","39.66938262","38.4904","38.7054"
"Arkansas","Ohio","Truck","1391.5211","1119.00388302","1692.6635","1697.1926"
"Arkansas","Oklahoma","Truck","3818.2282","1193.84436538","4133.623","4151.1886"
"Arkansas","Oregon","Truck","118.0096","259.64551862","189.0329","189.5245"
"Arkansas","Pennsylvania","Truck","660.5106","720.72264198","1415.6635","1418.8161"
"Arkansas","Rhode Island","Truck","23.5727","34.55682066","23.0853","23.1376"
"Arkansas","South Carolina","Truck","710.6172","601.14998647","1066.3848","1072.6112"
"Arkansas","South Dakota","Truck","41.6034","35.79500634","50.7769","51.1111"
"Arkansas","Tennessee","Truck","3521.4936","1160.93257113","4446.8885","4461.4339"
"Arkansas","Texas","Truck","8382.77780000001","3822.31625955","8939.098","8970.4658"
"Arkansas","Utah","Truck","132.8002","190.5382711","1092.6462","1099.9427"
"Arkansas","Vermont","Truck","1.1024","1.59882435","3.3748","3.3964"
"Arkansas","Virginia","Truck","370.9298","367.98599102","875.6979","878.6006"
"Arkansas","Washington","Truck","79.1917","176.82180719","193.1713","193.4856"
"Arkansas","West Virginia","Truck","86.362","69.45856967","137.1158","137.7181"
"Arkansas","Wisconsin","Truck","456.1765","362.07382722","673.6759","676.2101"
"Arkansas","Wyoming","Truck","22.0639","27.46964893","51.726","51.906"
"California","Alabama","Truck","409.4935","860.51981608","2234.4387","2250.55270000001"
"California","Alaska","Truck","91.6538","305.72471406","368.5041","369.6725"
"California","Arizona","Truck","11017.1942","5025.02227096","24495.1894","24597.0933"
"California","Arkansas","Truck","325.123","555.0290737","1513.2594","1520.2922"
"California","California","Truck","1023114.6151","98927.1550594302","873889.279300001","875644.9088"
"California","Colorado","Truck","2192.2511","2391.653186","7521.73750000001","7555.46210000001"
"California","Connecticut","Truck","284.5246","842.69437665","1171.3049","1175.8078"
"California","Delaware","Truck","76.7132","209.52685028","887.3468","896.1326"
"California","Washington DC","Truck","18.6918","49.80114104","374.8514","378.4368"
"California","Florida","Truck","2292.6909","6144.66020428","12761.6458","12822.964"
"California","Georgia","Truck","1277.8792","2951.68620899","5243.932","5267.3415"
"California","Idaho","Truck","716.919","592.05685951","2066.0504","2072.6338"
"California","Illinois","Truck","2939.2589","5960.91544335","10635.7932","10686.553"
"California","Indiana","Truck","1122.0959","2403.55097325","5819.5359","5826.15980000001"
"California","Iowa","Truck","609.1494","1092.94951256","2592.5059","2598.6246"
"California","Kansas","Truck","443.5446","693.12876205","2101.6925","2114.3161"
