"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2012","Total Ton-Mile in 2012","Total M$ in 2012","Total Current M$ in 2012"
"Alaska","Virginia","Other ag prods.","Truck","0.004","0.01693182","0.002","0.002"
"Alaska","Washington","Other ag prods.","Truck","0.0504","0.11633725","0.0258","0.0257"
"Alaska","West Virginia","Other ag prods.","Truck","0.001","0.00403169","0.0005","0.0005"
"Alaska","Wisconsin","Other ag prods.","Truck","0.0068","0.0233826","0.0034","0.0034"
"Alaska","Wyoming","Other ag prods.","Truck","0.0013","0.00358137","0.0007","0.0007"
"Arizona","Alabama","Other ag prods.","Truck","5.6111","9.40566621","3.41","3.3995"
"Arizona","Alaska","Other ag prods.","Truck","0","0","0","0"
"Arizona","Arizona","Other ag prods.","Truck","4021.6444","502.39787474","2503.853","2496.1284"
"Arizona","Arkansas","Other ag prods.","Truck","0.5528","0.72244419","0.0918","0.0915"
"Arizona","California","Other ag prods.","Truck","496.1744","239.95651783","372.1065","370.9586"
"Arizona","Colorado","Other ag prods.","Truck","10.6079","8.3974915","9.3438","9.3149"
"Arizona","Connecticut","Other ag prods.","Truck","1.7788","4.50435734","0.8962","0.8935"
"Arizona","Delaware","Other ag prods.","Truck","0.0003","0.00079743","0.0001","0.0001"
"Arizona","Washington DC","Other ag prods.","Truck","0.0003","0.00067217","0.0002","0.0002"
"Arizona","Florida","Other ag prods.","Truck","18.4942","41.56696548","22.6945","22.6245"
"Arizona","Georgia","Other ag prods.","Truck","5.4948","10.07201534","3.4164","3.4058"
"Arizona","Idaho","Other ag prods.","Truck","2.273","2.16245137","5.6406","5.6232"
"Arizona","Illinois","Other ag prods.","Truck","6.5014","11.42381046","7.7736","7.7497"
"Arizona","Indiana","Other ag prods.","Truck","5.4523","9.63867938","6.5373","6.5172"
"Arizona","Iowa","Other ag prods.","Truck","0.0411","0.06463852","0.0043","0.0043"
"Arizona","Kansas","Other ag prods.","Truck","8.6314","11.48032904","8.1652","8.14"
"Arizona","Kentucky","Other ag prods.","Truck","1.7354","3.14443629","0.8574","0.8548"
"Arizona","Louisiana","Other ag prods.","Truck","83.9273","122.13256485","41.4389","41.3111"
"Arizona","Maine","Other ag prods.","Truck","0.0002","0.00061699","0.0001","0.0001"
"Arizona","Maryland","Other ag prods.","Truck","2.2275","5.22414718","2.8193","2.8106"
"Arizona","Massachusetts","Other ag prods.","Truck","3.4799","9.2674638","2.7162","2.7078"
"Arizona","Michigan","Other ag prods.","Truck","8.605","17.4746648","10.4228","10.3906"
"Arizona","Minnesota","Other ag prods.","Truck","3.5899","6.28827129","5.9302","5.912"
"Arizona","Mississippi","Other ag prods.","Truck","0.0057","0.00848763","0.0029","0.0029"
"Arizona","Missouri","Other ag prods.","Truck","10.0647","14.25772281","10.0673","10.0362"
"Arizona","Montana","Other ag prods.","Truck","0.0063","0.00766644","0.0033","0.0033"
"Arizona","Nebraska","Other ag prods.","Truck","0.057","0.07430455","0.006","0.006"
"Arizona","Nevada","Other ag prods.","Truck","33.5875","11.24574005","21.2783","21.2127"
"Arizona","New Hampshire","Other ag prods.","Truck","0.0002","0.00046726","0.0001","0.0001"
"Arizona","New Jersey","Other ag prods.","Truck","6.3914","15.49648236","7.8604","7.8361"
"Arizona","New Mexico","Other ag prods.","Truck","40.4785","17.98750022","33.5332","33.4297"
"Arizona","New York","Other ag prods.","Truck","20.7674","51.09359072","17.5969","17.5427"
"Arizona","North Carolina","Other ag prods.","Truck","5.4586","11.81558383","7.6081","7.5847"
"Arizona","North Dakota","Other ag prods.","Truck","0.0012","0.00211164","0.0007","0.0007"
"Arizona","Ohio","Other ag prods.","Truck","25.6055","47.68178217","37.3348","37.2197"
"Arizona","Oklahoma","Other ag prods.","Truck","3.1019","3.1120299","4.4594","4.4456"
"Arizona","Oregon","Other ag prods.","Truck","8.7005","11.03805907","11.4481","11.4128"
"Arizona","Pennsylvania","Other ag prods.","Truck","2.4065","5.68501397","2.2553","2.2483"
"Arizona","Rhode Island","Other ag prods.","Truck","0.0002","0.00059108","0.0001","0.0001"
"Arizona","South Carolina","Other ag prods.","Truck","13.7066","28.3648048","24.2836","24.2087"
"Arizona","South Dakota","Other ag prods.","Truck","0.0028","0.00398781","0.0014","0.0014"
"Arizona","Tennessee","Other ag prods.","Truck","32.8442","56.59568039","22.5407","22.4711"
"Arizona","Texas","Other ag prods.","Truck","119.6887","119.30909086","181.9418","181.3807"
"Arizona","Utah","Other ag prods.","Truck","56.5873","36.13455505","49.324","49.1719"
"Arizona","Vermont","Other ag prods.","Truck","0.0001","0.00023574","0.0001","0.0001"
"Arizona","Virginia","Other ag prods.","Truck","0.857","1.94849326","1.7413","1.7359"
"Arizona","Washington","Other ag prods.","Truck","0.8163","1.15411457","0.8983","0.8955"
"Arizona","West Virginia","Other ag prods.","Truck","0.001","0.00193774","0.0006","0.0006"
"Arizona","Wisconsin","Other ag prods.","Truck","4.4192","8.15452834","5.2763","5.2601"
"Arizona","Wyoming","Other ag prods.","Truck","0.0112","0.01058199","0.0059","0.0059"
"Arkansas","Alabama","Other ag prods.","Truck","0.0658","0.02896548","0.0341","0.034"
"Arkansas","Arizona","Other ag prods.","Truck","8.3298","10.93638395","8.4098","8.3838"
"Arkansas","Arkansas","Other ag prods.","Truck","1184.1574","112.13258175","526.8125","525.1873"
"Arkansas","California","Other ag prods.","Truck","0.0012","0.00213321","0.0007","0.0007"
"Arkansas","Colorado","Other ag prods.","Truck","14.2852","13.53842861","4.1067","4.094"
"Arkansas","Connecticut","Other ag prods.","Truck","0.0003","0.00041531","0.0002","0.0002"
"Arkansas","Delaware","Other ag prods.","Truck","0.0002","0.00020597","0.0001","0.0001"
"Arkansas","Washington DC","Other ag prods.","Truck","0.0005","0.00048137","0.0002","0.0002"
"Arkansas","Florida","Other ag prods.","Truck","0.0092","0.00906508","0.0047","0.0047"
"Arkansas","Georgia","Other ag prods.","Truck","0.029","0.01784931","0.0151","0.0151"
"Arkansas","Idaho","Other ag prods.","Truck","0.2164","0.37592983","0.1423","0.1418"
"Arkansas","Illinois","Other ag prods.","Truck","0.0754","0.03965286","0.0393","0.0392"
"Arkansas","Indiana","Other ag prods.","Truck","0.0284","0.01744141","0.0149","0.0149"
"Arkansas","Iowa","Other ag prods.","Truck","5.615","3.34155691","1.1416","1.1381"
"Arkansas","Kansas","Other ag prods.","Truck","33.3623","13.83583727","25.4131","25.3346"
"Arkansas","Kentucky","Other ag prods.","Truck","4.1276","2.29837603","3.0943","3.0848"
"Arkansas","Louisiana","Other ag prods.","Truck","56.3495","25.99905743","34.4168","34.3106"
"Arkansas","Maine","Other ag prods.","Truck","0.0001","0.00021322","0","0"
"Arkansas","Maryland","Other ag prods.","Truck","0.0015","0.0016609","0.0009","0.0009"
"Arkansas","Massachusetts","Other ag prods.","Truck","0.0006","0.00095315","0.0003","0.0003"
"Arkansas","Michigan","Other ag prods.","Truck","0.0072","0.0062176","0.0037","0.0037"
"Arkansas","Minnesota","Other ag prods.","Truck","0.0055","0.00453894","0.0029","0.0029"
"Arkansas","Mississippi","Other ag prods.","Truck","161.4581","53.96939584","55.0005","54.8309"
"Arkansas","Missouri","Other ag prods.","Truck","62.1061","18.6274401","30.1274","30.0346"
"Arkansas","Montana","Other ag prods.","Truck","0","0","0","0"
"Arkansas","Nebraska","Other ag prods.","Truck","0.0061","0.00371291","0.0032","0.0032"
"Arkansas","Nevada","Other ag prods.","Truck","0.0002","0.00033024","0.0001","0.0001"
"Arkansas","New Hampshire","Other ag prods.","Truck","0.0001","0.00015548","0.0001","0.0001"
"Arkansas","New Jersey","Other ag prods.","Truck","0.0013","0.00163851","0.0006","0.0006"
"Arkansas","New Mexico","Other ag prods.","Truck","0.001","0.00088657","0.0006","0.0006"
"Arkansas","New York","Other ag prods.","Truck","0.0031","0.00390627","0.0016","0.0016"
"Arkansas","North Carolina","Other ag prods.","Truck","7.8716","6.6358661","10.2849","10.2532"
"Arkansas","North Dakota","Other ag prods.","Truck","0.0002","0.00019942","0.0001","0.0001"
"Arkansas","Ohio","Other ag prods.","Truck","0.0138","0.01027998","0.0073","0.0073"
"Arkansas","Oklahoma","Other ag prods.","Truck","47.6885","15.09136246","1.4224","1.4181"
"Arkansas","Oregon","Other ag prods.","Truck","0","0","0","0"
"Arkansas","Pennsylvania","Other ag prods.","Truck","0.0037","0.00384607","0.002","0.002"
"Arkansas","Rhode Island","Other ag prods.","Truck","0.0001","0.00014367","0","0"
"Arkansas","South Carolina","Other ag prods.","Truck","0.0039","0.00319036","0.002","0.002"
"Arkansas","South Dakota","Other ag prods.","Truck","0.0007","0.00058006","0.0003","0.0003"
"Arkansas","Tennessee","Other ag prods.","Truck","91.6361","22.26910633","33.1253","33.0232"
"Arkansas","Texas","Other ag prods.","Truck","70.7024","29.11962707","69.4294","69.2153"
"Arkansas","Utah","Other ag prods.","Truck","0.0002","0.00028768","0.0001","0.0001"
"Arkansas","Vermont","Other ag prods.","Truck","0.0001","0.00015371","0","0"
"Arkansas","Virginia","Other ag prods.","Truck","0.0034","0.00336985","0.0017","0.0017"
"Arkansas","Washington","Other ag prods.","Truck","9.4029","21.1823243","10.5346","10.5021"
"Arkansas","West Virginia","Other ag prods.","Truck","0.0014","0.0011115","0.0007","0.0007"
"Arkansas","Wisconsin","Other ag prods.","Truck","0.0078","0.00608079","0.0041","0.0041"
"Arkansas","Wyoming","Other ag prods.","Truck","0.0001","0.00011454","0","0"
"California","Alabama","Other ag prods.","Truck","28.3014","63.4443846","56.8116","56.6361"
"California","Alaska","Other ag prods.","Truck","21.2378","69.4387478","14.0591","14.0157"
"California","Arizona","Other ag prods.","Truck","419.9499","202.46078091","750.3172","748.0026"
"California","Arkansas","Other ag prods.","Truck","17.9999","31.73516504","32.2831","32.1834"
"California","California","Other ag prods.","Truck","56706.694","6821.04445499","39344.6226","39223.2429"
"California","Colorado","Other ag prods.","Truck","108.9039","122.8807544","208.2095","207.5672"
"California","Connecticut","Other ag prods.","Truck","30.3406","90.29460171","40.1854","40.0616"
"California","Delaware","Other ag prods.","Truck","0.0001","0.00026871","0","0"
"California","Washington DC","Other ag prods.","Truck","0.0001","0.0003325","0","0"
"California","Florida","Other ag prods.","Truck","242.4983","661.48220239","489.3815","487.8718"
"California","Georgia","Other ag prods.","Truck","143.4272","349.0169834","131.8954","131.4885"
"California","Idaho","Other ag prods.","Truck","6.4029","5.93191766","32.0077","31.9089"
"California","Illinois","Other ag prods.","Truck","196.5882","406.49583439","331.174","330.1521"
"California","Indiana","Other ag prods.","Truck","50.6046","110.78609757","89.3699","89.094"
"California","Iowa","Other ag prods.","Truck","46.2165","85.81631994","51.88","51.72"
"California","Kansas","Other ag prods.","Truck","26.7339","44.47874922","26.2561","26.1752"
"California","Kentucky","Other ag prods.","Truck","25.0082","54.08596268","35.4852","35.3757"
"California","Louisiana","Other ag prods.","Truck","1.3255","2.4668072","12.1145","12.0771"
"California","Maine","Other ag prods.","Truck","14.2432","46.38088573","14.3622","14.3179"
"California","Maryland","Other ag prods.","Truck","108.9944","302.79861626","131.0594","130.6552"
"California","Massachusetts","Other ag prods.","Truck","103.1618","317.85419477","193.0612","192.4656"
"California","Michigan","Other ag prods.","Truck","107.8353","249.6146738","182.4758","181.9129"
"California","Minnesota","Other ag prods.","Truck","195.0865","394.39199361","360.6974","359.5846"
"California","Mississippi","Other ag prods.","Truck","8.311","15.90276553","16.1687","16.1188"
"California","Missouri","Other ag prods.","Truck","22.7744","43.70221218","55.5331","55.3617"
"California","Montana","Other ag prods.","Truck","3.3762","4.03186021","11.7214","11.6852"
"California","Nebraska","Other ag prods.","Truck","16.3638","26.04110674","47.4634","47.3171"
"California","Nevada","Other ag prods.","Truck","2679.1202","1107.17932366","1651.1133","1646.0195"
"California","New Hampshire","Other ag prods.","Truck","9.0277","26.95134486","61.8956","61.7047"
"California","New Jersey","Other ag prods.","Truck","130.0501","373.26311272","282.7839","281.9116"
"California","New Mexico","Other ag prods.","Truck","56.8913","58.18869708","85.9512","85.6861"
"California","New York","Other ag prods.","Truck","279.0433","798.6139928","509.1046","507.5341"
"California","North Carolina","Other ag prods.","Truck","91.44","241.17545102","146.3392","145.8877"
"California","North Dakota","Other ag prods.","Truck","57.5895","99.77092465","35.3533","35.2444"
"California","Ohio","Other ag prods.","Truck","107.3226","254.57961509","206.6109","205.9737"
"California","Oklahoma","Other ag prods.","Truck","20.8173","32.71383903","41.8528","41.7238"
"California","Oregon","Other ag prods.","Truck","131.0381","94.38137962","245.8714","245.1128"
"California","Pennsylvania","Other ag prods.","Truck","216.8788","592.24528515","654.2257","652.2072"
"California","Rhode Island","Other ag prods.","Truck","0.1247","0.37013178","1.8567","1.851"
"California","South Carolina","Other ag prods.","Truck","61.2335","156.2945211","102.115","101.8003"
"California","South Dakota","Other ag prods.","Truck","0.015","0.02515972","0.0237","0.0236"
"California","Tennessee","Other ag prods.","Truck","52.4303","112.64044912","97.9611","97.6587"
"California","Texas","Other ag prods.","Truck","434.3339","673.33862571","777.8997","775.4998"
"California","Utah","Other ag prods.","Truck","46.562","34.62026052","89.9952","89.7174"
"California","Vermont","Other ag prods.","Truck","4.1825","12.76348065","6.5077","6.4876"
"California","Virginia","Other ag prods.","Truck","26.7621","72.86170375","36.0711","35.9597"
"California","Washington","Other ag prods.","Truck","273.8508","252.97996163","636.542","634.5781"
"California","West Virginia","Other ag prods.","Truck","4.2696","10.81911725","6.9525","6.9311"
"California","Wisconsin","Other ag prods.","Truck","75.6568","161.84954509","79.2763","79.0318"
"California","Wyoming","Other ag prods.","Truck","0.9349","1.05060032","0.9297","0.9268"
"Colorado","Alabama","Other ag prods.","Truck","21.8258","30.56211648","6.8054","6.7844"
"Colorado","Alaska","Other ag prods.","Truck","0","0","0","0"
"Colorado","Arizona","Other ag prods.","Truck","75.0075","59.4408798","41.7622","41.6334"
"Colorado","Arkansas","Other ag prods.","Truck","37.6431","36.29912507","15.8705","15.8216"
"Colorado","California","Other ag prods.","Truck","72.3407","78.90208161","43.664","43.5293"
"Colorado","Colorado","Other ag prods.","Truck","2682.5034","244.04897446","1496.6926","1492.0752"
"Colorado","Connecticut","Other ag prods.","Truck","0.0005","0.00093356","0.0002","0.0002"
"Colorado","Delaware","Other ag prods.","Truck","0.0002","0.00039967","0.0001","0.0001"
"Colorado","Washington DC","Other ag prods.","Truck","0.0002","0.00036443","0.0001","0.0001"
