"DMS ORIG","DMS DEST","SCTG2","DMS_MODE","Total KTons in 2007","Total Ton-Mile in 2007","Total M$ in 2007"
"Alabama","Pennsylvania","Nonmetal min. prods.","Truck","46.7448","37.57710498","32.0294"
"Alabama","Pennsylvania","Machinery","Truck","7.0963","6.47511859","42.0405"
"Alabama","Rhode Island","Wood prods.","Truck","9.011","10.71909544","4.9332"
"Alabama","Rhode Island","Nonmetal min. prods.","Truck","0.0006","0.00072981","0.0001"
"Alabama","Rhode Island","Machinery","Truck","0.0002","0.00023791","0.0019"
"Alabama","South Carolina","Wood prods.","Truck","98.9149","40.11985807","48.957"
"Alabama","South Carolina","Nonmetal min. prods.","Truck","266.332","106.3120993","109.0704"
"Alabama","South Carolina","Machinery","Truck","15.1061","6.48910192","109.2526"
"Alabama","South Dakota","Wood prods.","Truck","2.9738","3.59699791","0.9948"
"Alabama","South Dakota","Nonmetal min. prods.","Truck","7.0372","8.51258091","4.0521"
"Alabama","South Dakota","Machinery","Truck","0.1267","0.1540134","0.9857"
"Alabama","Tennessee","Wood prods.","Truck","782.8446","207.93324205","366.6868"
"Alabama","Tennessee","Nonmetal min. prods.","Truck","858.8472","212.63872531","152.6852"
"Alabama","Tennessee","Machinery","Truck","63.4509","16.93771415","561.3289"
"Alabama","Texas","Wood prods.","Truck","184.0434","131.92847832","103.8274"
"Alabama","Texas","Nonmetal min. prods.","Truck","218.8656","156.36666884","184.0525"
"Alabama","Texas","Machinery","Truck","29.3776","22.86081118","203.4955"
"Alabama","Utah","Wood prods.","Truck","0.4369","0.80178319","1.3812"
"Alabama","Utah","Nonmetal min. prods.","Truck","7.4552","13.67837411","3.1339"
"Alabama","Utah","Machinery","Truck","0.0148","0.02671405","5.1707"
"Alabama","Vermont","Wood prods.","Truck","0.3873","0.48451049","0.9761"
"Alabama","Vermont","Nonmetal min. prods.","Truck","0.0002","0.0002502","0"
"Alabama","Vermont","Machinery","Truck","0.0001","0.0001251","0.0011"
"Alabama","Virginia","Wood prods.","Truck","77.1366","50.56733392","41.0878"
"Alabama","Virginia","Nonmetal min. prods.","Truck","4.3249","2.82735348","7.1839"
"Alabama","Virginia","Machinery","Truck","8.9992","6.06336977","22.1953"
"Alabama","Washington","Wood prods.","Truck","6.8004","17.27401969","1.9948"
"Alabama","Washington","Nonmetal min. prods.","Truck","0.7084","1.86494565","5.6874"
"Alabama","Washington","Machinery","Truck","0.9786","2.5753888","6.5633"
"Alabama","West Virginia","Wood prods.","Truck","22.2912","14.398494","8.9708"
"Alabama","West Virginia","Nonmetal min. prods.","Truck","2.0083","1.29270844","1.7547"
"Alabama","West Virginia","Machinery","Truck","0.0277","0.01935454","5.7054"
"Alabama","Wisconsin","Wood prods.","Truck","45.1257","40.56607859","30.7063"
"Alabama","Wisconsin","Nonmetal min. prods.","Truck","8.0051","6.98239743","9.4826"
"Alabama","Wisconsin","Machinery","Truck","12.3415","10.81434242","111.0402"
"Alabama","Wyoming","Wood prods.","Truck","0","0","0"
"Alabama","Wyoming","Nonmetal min. prods.","Truck","0.0001","0.00016174","0"
"Alabama","Wyoming","Machinery","Truck","0.0213","0.03522926","5.3277"
"Alaska","Alabama","Wood prods.","Truck","0.0003","0.00127567","0.0002"
"Alaska","Alabama","Nonmetal min. prods.","Truck","0.0013","0.00554925","0.0002"
"Alaska","Alabama","Machinery","Truck","0.0006","0.00256372","0.0055"
"Alaska","Alaska","Wood prods.","Truck","155.8918","32.55913347","111.0829"
"Alaska","Alaska","Nonmetal min. prods.","Truck","3073.9764","642.02227368","278.481"
"Alaska","Alaska","Machinery","Truck","326.6751","68.22846475","2683.9145"
"Alaska","Arizona","Wood prods.","Truck","0.0011","0.00401675","0.0006"
"Alaska","Arizona","Nonmetal min. prods.","Truck","0.0051","0.01864697","0.0008"
"Alaska","Arizona","Machinery","Truck","0.0026","0.00950592","0.0203"
"Alaska","Arkansas","Wood prods.","Truck","0.0003","0.00117801","0.0002"
"Alaska","Arkansas","Nonmetal min. prods.","Truck","0.0009","0.00353404","0.0001"
"Alaska","Arkansas","Machinery","Truck","0.0005","0.00196336","0.0039"
"Alaska","California","Wood prods.","Truck","0.1175","0.40024083","4.4957"
"Alaska","California","Nonmetal min. prods.","Truck","0.0408","0.13321667","0.0065"
"Alaska","California","Machinery","Truck","0.0202","0.06597703","0.1613"
"Alaska","Colorado","Wood prods.","Truck","0.0017","0.00547615","0.0009"
"Alaska","Colorado","Nonmetal min. prods.","Truck","0.0071","0.02288278","0.0011"
"Alaska","Colorado","Machinery","Truck","0.0316","0.10119225","0.0346"
"Alaska","Connecticut","Wood prods.","Truck","0.0002","0.00089435","0.0002"
"Alaska","Connecticut","Nonmetal min. prods.","Truck","0.0007","0.00312961","0.0001"
"Alaska","Connecticut","Machinery","Truck","0.0004","0.00178871","0.0031"
"Alaska","Delaware","Wood prods.","Truck","0.0001","0.00043294","0"
"Alaska","Delaware","Nonmetal min. prods.","Truck","0.0003","0.00129883","0"
"Alaska","Delaware","Machinery","Truck","0.0001","0.00043294","0.0011"
"Alaska","Washington DC","Wood prods.","Truck","0.0001","0.00042749","0"
"Alaska","Washington DC","Nonmetal min. prods.","Truck","0.0001","0.00042749","0"
"Alaska","Washington DC","Machinery","Truck","0.0001","0.00042749","0.0007"
"Alaska","Florida","Wood prods.","Truck","0.0011","0.00522255","0.0005"
