"DMS ORIG","DMS DEST","DMS_MODE","Total KTons in 2002","Total Ton-Mile in 2002","Total M$ in 2002"
"California","Louisiana","Truck","246.0915","483.38641516","2414.0630"
"California","Maine","Truck","80.5316","259.43370571","476.0503"
"California","Maryland","Truck","742.4687","2002.62499176","3531.9177"
"California","Massachusetts","Truck","773.2484","2365.10692579","4640.2494"
"California","Michigan","Truck","617.1767","1422.36926007","4891.8956"
"California","Minnesota","Truck","635.1769","1261.89266694","3319.1706"
"California","Mississippi","Truck","447.9083","894.99194609","1284.7981"
"California","Missouri","Truck","945.6969","1716.38462002","3104.7958"
"California","Montana","Truck","493.7232","596.74468049","1222.1445"
"California","Nebraska","Truck","132.3980","204.10181036","578.2418"
"California","Nevada","Truck","9669.7865","3129.92063795","15914.6279"
"California","New Hampshire","Truck","216.2636","653.61056725","1661.4936"
"California","New Jersey","Truck","763.7248","2165.73559786","5511.2248"
"California","New Mexico","Truck","755.0389","672.78116949","2511.3847"
"California","New York","Truck","968.3104","2738.46619804","4739.6266"
"California","North Carolina","Truck","616.5304","1566.39444232","2793.2815"
"California","North Dakota","Truck","86.2587","150.59643473","145.1773"
"California","Ohio","Truck","1592.0285","3654.12188648","9845.8976"
"California","Oklahoma","Truck","362.3751","554.13085823","2743.0533"
"California","Oregon","Truck","5661.8528","4197.54836366","11314.2821"
"California","Pennsylvania","Truck","1120.7183","2990.21704387","7017.3746"
"California","Rhode Island","Truck","29.3952","88.34569620","237.2834"
"California","South Carolina","Truck","320.9363","817.25218346","5818.8748"
"California","South Dakota","Truck","21.3786","34.72543325","90.2609"
"California","Tennessee","Truck","812.5899","1735.32943067","3459.6655"
"California","Texas","Truck","3695.9681","5775.53259537","34582.4514"
"California","Utah","Truck","2417.0122","1698.19975505","6064.4669"
"California","Vermont","Truck","55.6177","165.65440042","232.8334"
"California","Virginia","Truck","348.5557","941.53103683","3341.6904"
"California","Washington","Truck","3529.7385","3497.93765602","13569.5988"
"California","West Virginia","Truck","18.3832","45.32880794","190.4156"
"California","Wisconsin","Truck","631.2208","1333.28101308","4350.6310"
"California","Wyoming","Truck","44.7762","47.69639654","129.3946"
"Colorado","Alabama","Truck","187.3554","260.85922230","227.1962"
"Colorado","Alaska","Truck","21.5739","69.17841463","34.3639"
"Colorado","Arizona","Truck","556.3125","458.71592818","1141.7648"
"Colorado","Arkansas","Truck","325.6481","321.02393825","186.3967"
"Colorado","California","Truck","1468.1139","1624.80060660","3953.1846"
"Colorado","Colorado","Truck","125523.6008","9650.29897037","90917.7101"
"Colorado","Connecticut","Truck","23.5784","45.87023547","51.7966"
"Colorado","Delaware","Truck","12.8577","22.41702706","45.7712"
"Colorado","Washington DC","Truck","1.4242","2.39662205","5.9099"
"Colorado","Florida","Truck","141.2125","267.78093819","700.2701"
"Colorado","Georgia","Truck","140.1148","210.87791552","537.6995"
"Colorado","Idaho","Truck","259.8867","212.87016385","557.5992"
"Colorado","Illinois","Truck","346.2008","354.14638056","2060.5199"
"Colorado","Indiana","Truck","154.7491","174.84020717","495.1865"
"Colorado","Iowa","Truck","137.1798","110.09649692","281.2532"
"Colorado","Kansas","Truck","1911.4667","1093.97136827","1414.7666"
"Colorado","Kentucky","Truck","45.7659","54.31730549","191.0695"
"Colorado","Louisiana","Truck","36.7971","46.97316060","190.1622"
